Time (s),Vehicle ID,CO2 (g),CO (g),HC (g),NOx (g),PMx (g),Fuel (L),Speed (m/s)
0.00,t_0,2624.72,164.78,0.81,1.20,0.07,837.22,0.00
0.00,t_1,2624.72,164.78,0.81,1.20,0.07,837.22,0.00
0.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,t_0,3562.06,148.39,0.76,1.59,0.08,1136.17,2.13
1.00,t_1,3518.08,148.19,0.76,1.57,0.08,1122.15,2.08
1.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,0.70
2.00,t_0,4030.39,131.26,0.69,1.76,0.08,1285.54,3.89
2.00,t_1,5322.22,147.02,0.80,2.35,0.11,1697.56,4.66
2.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,1.71
3.00,t_0,5906.73,138.51,0.77,2.58,0.12,1883.98,6.22
3.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,3.98
3.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,2.84
4.00,t_0,7994.08,152.15,0.88,3.50,0.17,2549.73,8.80
4.00,t_1,3229.30,101.81,0.54,1.36,0.06,1030.03,4.81
4.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,3.75
5.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.05
5.00,t_1,2269.66,81.07,0.42,0.90,0.03,723.95,4.89
5.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,4.54
6.00,t_0,2920.91,51.56,0.30,1.12,0.04,931.66,8.43
6.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,3.99
6.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.08
7.00,t_0,2100.97,34.62,0.20,0.73,0.02,670.14,8.44
7.00,t_1,3259.25,101.96,0.54,1.37,0.06,1039.58,4.85
7.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.33
8.00,t_0,2303.45,37.77,0.22,0.82,0.02,734.72,8.53
8.00,t_1,2189.32,79.83,0.41,0.87,0.03,698.33,4.86
8.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.25
9.00,t_0,2302.73,36.76,0.22,0.82,0.02,734.49,8.63
9.00,t_1,2523.56,83.10,0.43,1.02,0.04,804.93,5.12
9.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.26
10.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,7.92
10.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.89
10.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.42
11.00,t_0,2151.88,40.97,0.23,0.77,0.02,686.38,7.95
11.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.18
11.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.49
12.00,t_0,2136.00,40.40,0.23,0.76,0.02,681.31,7.97
12.00,t_1,2526.79,92.23,0.48,1.04,0.04,805.97,4.46
12.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.09
13.00,t_0,2637.75,47.93,0.28,0.99,0.03,841.34,8.22
13.00,t_1,2910.34,92.39,0.49,1.20,0.05,928.30,5.02
13.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.60
14.00,t_0,2543.54,43.78,0.26,0.94,0.03,811.29,8.43
14.00,t_1,2298.96,78.46,0.41,0.91,0.03,733.30,5.12
14.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.36
15.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.21
15.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.77
15.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.10
16.00,t_0,1693.84,30.74,0.18,0.55,0.01,540.29,8.02
16.00,t_1,2220.50,81.26,0.42,0.88,0.03,708.28,4.80
16.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.35
17.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,7.55
17.00,t_1,2510.48,83.72,0.44,1.01,0.04,800.76,5.06
17.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.04
18.00,t_0,4778.29,86.65,0.51,1.99,0.09,1524.06,8.73
18.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.79
18.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.20
19.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.50
19.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.01
19.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.26
20.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.02
20.00,t_1,2229.82,92.47,0.47,0.91,0.04,711.25,4.01
20.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.46
21.00,t_0,3078.54,54.40,0.32,1.19,0.04,981.93,8.47
21.00,t_1,2980.62,98.79,0.52,1.25,0.05,950.71,4.66
21.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.17
22.00,t_0,2891.85,46.91,0.28,1.09,0.04,922.39,8.82
22.00,t_1,2370.50,84.17,0.44,0.95,0.04,756.12,4.81
22.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.03
23.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.55
23.00,t_1,2071.67,79.30,0.41,0.81,0.03,660.81,4.72
23.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.39
24.00,t_0,2096.42,33.30,0.20,0.73,0.02,668.69,8.55
24.00,t_1,2548.65,85.19,0.45,1.03,0.04,812.94,5.01
24.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.05
25.00,t_0,2410.72,38.29,0.23,0.87,0.02,768.93,8.69
25.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.20
25.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.17
26.00,t_0,2157.89,32.78,0.20,0.75,0.02,688.29,8.72
26.00,t_1,2858.62,95.15,0.50,1.19,0.05,911.80,4.74
26.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.35
27.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.09
27.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.29
27.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.11
28.00,t_0,3659.79,63.12,0.37,1.46,0.06,1167.32,8.78
28.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,4.02
28.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.13
29.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.44
29.00,t_1,2232.62,92.29,0.47,0.91,0.04,712.14,4.03
29.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.45
30.00,t_0,1935.43,31.88,0.19,0.65,0.01,617.34,8.37
30.00,t_1,5497.40,131.18,0.73,2.39,0.11,1753.43,6.14
30.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.10
31.00,t_0,2037.83,34.24,0.20,0.70,0.01,650.00,8.35
31.00,t_1,2616.15,68.15,0.37,1.03,0.04,834.46,6.44
31.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.36
32.00,t_0,2794.23,46.51,0.27,1.05,0.03,891.25,8.66
32.00,t_1,3538.86,77.95,0.44,1.44,0.06,1128.75,7.20
32.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.26
33.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,8.06
33.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.71
33.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.24
34.00,t_0,2706.14,48.10,0.28,1.02,0.03,863.15,8.34
34.00,t_1,2491.64,59.67,0.33,0.95,0.03,794.75,6.92
34.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.44
35.00,t_0,2908.53,48.46,0.29,1.10,0.04,927.70,8.70
35.00,t_1,3872.10,77.99,0.44,1.58,0.06,1235.04,7.80
35.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.30
36.00,t_0,2173.64,32.95,0.20,0.76,0.02,693.31,8.74
36.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.62
36.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.21
37.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,7.96
37.00,t_1,3317.25,72.72,0.41,1.34,0.05,1058.07,7.26
37.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.17
38.00,t_0,3564.78,62.88,0.37,1.42,0.05,1137.02,8.61
38.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.86
38.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.17
39.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,7.78
39.00,t_1,3067.33,66.38,0.37,1.21,0.04,978.36,7.36
39.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.21
40.00,t_0,2615.18,49.62,0.28,0.98,0.03,834.14,8.03
40.00,t_1,2554.04,53.15,0.30,0.97,0.03,814.65,7.60
40.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.23
41.00,t_0,2520.80,45.49,0.26,0.93,0.03,804.04,8.23
41.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,7.21
41.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.33
42.00,t_0,1847.87,32.87,0.19,0.62,0.01,589.41,8.11
42.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.65
42.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.33
43.00,t_0,2860.98,49.96,0.29,1.09,0.04,912.54,8.46
43.00,t_1,1975.94,53.31,0.29,0.72,0.02,630.26,6.57
43.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.22
44.00,t_0,2758.75,44.79,0.27,1.03,0.03,879.93,8.76
44.00,t_1,3006.85,68.63,0.38,1.19,0.04,959.07,7.06
44.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.55
45.00,t_0,2056.82,30.49,0.18,0.70,0.01,656.06,8.74
45.00,t_1,1775.74,45.45,0.24,0.62,0.01,566.41,6.88
45.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.27
46.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,7.91
46.00,t_1,3473.47,72.27,0.41,1.40,0.05,1107.89,7.58
46.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.06
47.00,t_0,2786.94,50.92,0.29,1.06,0.03,888.93,8.23
47.00,t_1,2525.51,50.34,0.29,0.95,0.03,805.54,7.79
47.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.12
48.00,t_0,0.00,0.00,0.00,0.00,0.00,0.00,7.56
48.00,t_1,1797.07,37.00,0.21,0.61,0.01,573.21,7.65
48.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.16
49.00,t_0,3410.84,64.34,0.37,1.36,0.05,1087.92,8.18
49.00,t_1,2150.54,43.95,0.25,0.77,0.02,685.95,7.68
49.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.31
50.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.61
50.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.39
51.00,t_1,3962.24,82.57,0.47,1.63,0.07,1263.79,7.56
51.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.20
52.00,t_1,2448.09,49.39,0.28,0.91,0.03,780.85,7.74
52.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.19
53.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,7.27
53.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.48
54.00,t_1,2850.06,58.68,0.33,1.10,0.04,909.06,7.65
54.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.18
55.00,t_1,2243.85,45.35,0.26,0.82,0.02,715.71,7.72
55.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.01
56.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,7.33
56.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.55
57.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.55
57.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.02
58.00,t_1,2619.17,63.27,0.35,1.02,0.03,835.42,6.84
58.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.34
59.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.58
59.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.54
60.00,t_1,3503.82,75.86,0.43,1.42,0.06,1117.58,7.32
60.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.33
61.00,t_1,2924.03,59.22,0.34,1.14,0.04,932.65,7.73
61.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.05
62.00,t_1,1884.07,38.98,0.22,0.65,0.01,600.96,7.63
62.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.20
63.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.67
63.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.20
64.00,t_1,2592.85,61.53,0.34,1.00,0.03,827.03,6.94
64.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.58
65.00,t_1,0.00,0.00,0.00,0.00,0.00,0.00,6.72
65.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.35
