Time,Total Count,Cars,motorcycles,buss,Trucks,Code,Vehicle,Entry,Exit
6:36,7,3,4,0,0,bwe,motorcycle,west,east
6:36,,,,,,bsw,motorcycle,south,west
6:36,,,,,,bws,motorcycle,west,south
6:36,,,,,,asn,car,south,north
6:36,,,,,,bwe,motorcycle,west,east
6:36,,,,,,awe,car,west,east
6:36,,,,,,ans,car,north,south
6:37,7,5,2,0,0,bnw,motorcycle,north,west
6:37,,,,,,bns,motorcycle,north,south
6:37,,,,,,asn,car,south,north
6:37,,,,,,aws,car,west,south
6:37,,,,,,asw,car,south,west
6:37,,,,,,ase,car,south,east
6:37,,,,,,ans,car,north,south
6:38,7,2,3,2,0,bsn,motorcycle,south,north
6:38,,,,,,bns,motorcycle,north,south
6:38,,,,,,asn,car,south,north
6:38,,,,,,bsn,motorcycle,south,north
6:38,,,,,,cwe,bus,west,east
6:38,,,,,,cse,bus,south,east
6:38,,,,,,asn,car,south,north
6:39,8,3,4,1,0,anw,car,north,west
6:39,,,,,,bwe,motorcycle,west,east
6:39,,,,,,bew,motorcycle,east,west
6:39,,,,,,awe,car,west,east
6:39,,,,,,bwe,motorcycle,west,east
6:39,,,,,,bsn,motorcycle,south,north
6:39,,,,,,cwe,bus,west,east
6:39,,,,,,ane,car,north,east
6:40,11,3,5,1,2,bwe,motorcycle,west,east
6:40,,,,,,bsn,motorcycle,south,north
6:40,,,,,,aws,car,west,south
6:40,,,,,,xwn,truck,west,north
6:40,,,,,,bwe,motorcycle,west,east
6:40,,,,,,asw,car,south,west
6:40,,,,,,bew,motorcycle,east,west
6:40,,,,,,ans,car,north,south
6:40,,,,,,xwe,truck,west,east
6:40,,,,,,bns,motorcycle,north,south
6:40,,,,,,cse,bus,south,east
6:41,3,3,0,0,0,aws,car,west,south
6:41,,,,,,asw,car,south,west
6:41,,,,,,aws,car,west,south
6:42,15,10,4,1,0,bwe,motorcycle,west,east
6:42,,,,,,awe,car,west,east
6:42,,,,,,awe,car,west,east
6:42,,,,,,bsn,motorcycle,south,north
6:42,,,,,,awe,car,west,east
6:42,,,,,,bwe,motorcycle,west,east
6:42,,,,,,awe,car,west,east
6:42,,,,,,ase,car,south,east
6:42,,,,,,aws,car,west,south
6:42,,,,,,awe,car,west,east
6:42,,,,,,cwe,bus,west,east
6:42,,,,,,aws,car,west,south
6:42,,,,,,bse,motorcycle,south,east
6:42,,,,,,aws,car,west,south
6:42,,,,,,awe,car,west,east
6:43,9,3,5,1,0,awe,car,west,east
6:43,,,,,,aws,car,west,south
6:43,,,,,,bew,motorcycle,east,west
6:43,,,,,,bwe,motorcycle,west,east
6:43,,,,,,bnw,motorcycle,north,west
6:43,,,,,,bns,motorcycle,north,south
6:43,,,,,,bwe,motorcycle,west,east
6:43,,,,,,cwe,bus,west,east
6:43,,,,,,asw,car,south,west
6:44,5,2,3,0,0,aws,car,west,south
6:44,,,,,,awe,car,west,east
6:44,,,,,,bwe,motorcycle,west,east
6:44,,,,,,bsn,motorcycle,south,north
6:44,,,,,,bsn,motorcycle,south,north
6:45,10,5,4,1,0,aew,car,east,west
6:45,,,,,,awe,car,west,east
6:45,,,,,,bwn,motorcycle,west,north
6:45,,,,,,bsn,motorcycle,south,north
6:45,,,,,,bsw,motorcycle,south,west
6:45,,,,,,bwe,motorcycle,west,east
6:45,,,,,,cse,bus,south,east
6:45,,,,,,awe,car,west,east
6:45,,,,,,asw,car,south,west
6:45,,,,,,awe,car,west,east
6:46,11,8,2,1,0,aws,car,west,south
6:46,,,,,,asw,car,south,west
6:46,,,,,,awe,car,west,east
6:46,,,,,,bne,motorcycle,north,east
6:46,,,,,,bne,motorcycle,north,east
6:46,,,,,,asw,car,south,west
6:46,,,,,,asw,car,south,west
6:46,,,,,,awe,car,west,east
6:46,,,,,,awe,car,west,east
6:46,,,,,,cnw,bus,north,west
6:46,,,,,,aws,car,west,south
6:47,4,3,0,1,0,csw,bus,south,west
6:47,,,,,,awe,car,west,east
6:47,,,,,,ase,car,south,east
6:47,,,,,,anw,car,north,west
6:48,11,7,3,1,0,bne,motorcycle,north,east
6:48,,,,,,asn,car,south,north
6:48,,,,,,bwe,motorcycle,west,east
6:48,,,,,,asw,car,south,west
6:48,,,,,,bes,motorcycle,east,south
6:48,,,,,,awe,car,west,east
6:48,,,,,,aws,car,west,south
6:48,,,,,,cwe,bus,west,east
6:48,,,,,,awe,car,west,east
6:48,,,,,,awe,car,west,east
6:48,,,,,,awe,car,west,east
6:49,6,3,2,1,0,bnw,motorcycle,north,west
6:49,,,,,,asw,car,south,west
6:49,,,,,,cse,bus,south,east
6:49,,,,,,awe,car,west,east
6:49,,,,,,ans,car,north,south
6:49,,,,,,bws,motorcycle,west,south
6:50,12,1,8,3,0,bwn,motorcycle,west,north
6:50,,,,,,bws,motorcycle,west,south
6:50,,,,,,bwn,motorcycle,west,north
6:50,,,,,,cse,bus,south,east
6:50,,,,,,bse,motorcycle,south,east
6:50,,,,,,cse,bus,south,east
6:50,,,,,,bnw,motorcycle,north,west
6:50,,,,,,asn,car,south,north
6:50,,,,,,cwe,bus,west,east
6:50,,,,,,bnw,motorcycle,north,west
6:50,,,,,,bew,motorcycle,east,west
6:50,,,,,,bse,motorcycle,south,east
6:51,8,3,3,2,0,awe,car,west,east
