#group,false,false,false,false,false,false,true,false,false
#datatype,string,long,string,string,string,string,string,string,string
#default,_result,,,,,,,,
,result,table,direction_entry,direction_exit,entered_time,exit_time,vehicle_id,vehicle_type_entry,vehicle_type_exit
,,0,,East,,2025-05-17T02:05:49.754000000Z,1,,car
,,0,,South,,2025-05-17T02:21:42.830000000Z,1,,car
,,0,,South,,2025-05-17T03:35:48.157000000Z,1,,car
,,0,,West,,2025-05-17T02:26:22.989000000Z,1,,car
,,0,North,,2025-05-17T08:44:01.476000000Z,,1,car,
,,1,,West,,2025-05-17T02:26:47.517000000Z,10,,car
,,1,,East,,2025-05-17T02:41:38.346000000Z,10,,bus
,,1,East,South,2025-05-17T06:16:47.888000000Z,2025-05-17T06:16:50.081000000Z,10,truck,truck
,,2,,South,,2025-05-17T03:13:43.384000000Z,100,,car
,,2,East,,2025-05-17T08:48:49.117000000Z,,100,car,
,,3,East,South,2025-05-17T07:16:10.979000000Z,2025-05-17T07:16:24.914000000Z,1000,truck,bus
,,3,East,,2025-05-17T09:34:15.061000000Z,,1000,motorcycle,
,,4,South,South,2025-05-17T04:40:17.673000000Z,2025-05-17T04:40:22.309000000Z,1001,car,car
,,4,East,,2025-05-17T07:16:45.394000000Z,,1001,car,
,,5,East,South,2025-05-17T04:40:21.714000000Z,2025-05-17T04:40:37.171000000Z,1002,car,bus
,,6,South,North,2025-05-17T07:16:50.991000000Z,2025-05-17T07:16:55.593000000Z,1004,car,car
,,7,East,South,2025-05-17T04:40:28.131000000Z,2025-05-17T04:40:31.698000000Z,1006,car,car
,,8,East,,2025-05-17T07:17:00.625000000Z,,1008,car,
,,9,,North,,2025-05-17T04:40:21.714000000Z,1009,,car
,,9,,South,,2025-05-17T09:34:09.807000000Z,1009,,bus
,,10,,South,,2025-05-17T02:31:42.865000000Z,101,,car
,,10,South,East,2025-05-17T03:06:44.977000000Z,2025-05-17T08:48:55.947000000Z,101,car,
,,10,South,,2025-05-17T08:48:53.790000000Z,,101,car,car
,,11,East,,2025-05-17T04:40:31.698000000Z,,1011,car,
,,12,East,South,2025-05-17T04:40:35.599000000Z,2025-05-17T04:40:37.693000000Z,1016,car,car
,,12,South,East,2025-05-17T07:17:08.183000000Z,2025-05-17T07:17:10.772000000Z,1016,car,car
,,13,South,East,2025-05-17T07:17:12.411000000Z,2025-05-17T07:17:17.001000000Z,1018,car,car
,,14,,South,,2025-05-17T03:43:47.652000000Z,102,,car
,,15,North,,2025-05-17T07:17:11.323000000Z,,1020,car,
,,16,East,,2025-05-17T09:34:23.205000000Z,,1023,car,
,,17,South,South,2025-05-17T04:40:47.431000000Z,2025-05-17T04:40:48.388000000Z,1024,car,car
,,18,South,,2025-05-17T04:40:49.368000000Z,,1025,car,
,,19,North,,2025-05-17T04:40:50.932000000Z,,1026,car,
,,19,North,North,2025-05-17T07:17:22.525000000Z,2025-05-17T07:17:23.151000000Z,1026,car,car
,,20,,South,,2025-05-17T04:40:55.049000000Z,1028,,car
,,20,,South,,2025-05-17T09:34:23.205000000Z,1028,,truck
,,20,South,,2025-05-17T07:17:20.235000000Z,,1028,car,
,,21,,West,,2025-05-17T02:31:46.555000000Z,103,,car
,,21,,South,,2025-05-17T08:49:00.187000000Z,103,,truck
,,21,South,South,2025-05-17T03:43:51.010000000Z,2025-05-17T03:43:49.876000000Z,103,car,car
,,21,East,,2025-05-17T04:05:36.028000000Z,,103,car,
,,21,South,,2025-05-17T08:48:59.596000000Z,,103,truck,
,,22,South,East,2025-05-17T09:34:31.156000000Z,2025-05-17T09:34:33.334000000Z,1031,car,car
,,23,East,,2025-05-17T04:41:05.015000000Z,,1034,car,
,,24,East,,2025-05-17T04:41:11.288000000Z,,1038,car,
,,25,South,,2025-05-17T09:34:45.798000000Z,,1039,car,
,,26,South,,2025-05-17T06:21:29.904000000Z,,104,car,
,,27,East,,2025-05-17T07:17:36.482000000Z,,1040,car,
,,28,South,,2025-05-17T07:17:55.200000000Z,,1046,car,
,,29,North,,2025-05-17T04:41:15.999000000Z,,1047,car,
,,30,South,East,2025-05-17T04:41:22.045000000Z,2025-05-17T04:41:25.293000000Z,1048,car,car
,,31,South,South,2025-05-17T04:41:19.408000000Z,2025-05-17T04:41:19.988000000Z,1049,car,car
,,31,South,,2025-05-17T07:17:57.739000000Z,,1049,car,
,,32,East,East,2025-05-17T03:14:13.973000000Z,2025-05-17T03:14:08.947000000Z,105,car,car
,,32,North,,2025-05-17T04:05:31.907000000Z,,105,car,
,,33,East,,2025-05-17T07:18:33.841000000Z,,1054,car,
,,34,East,,2025-05-17T04:41:38.673000000Z,,1059,car,
,,34,South,,2025-05-17T07:18:54.775000000Z,,1059,car,
,,34,North,,2025-05-17T09:35:26.402000000Z,,1059,car,
,,35,East,,2025-05-17T06:21:28.882000000Z,,106,car,
,,36,,South,,2025-05-17T09:35:29.938000000Z,1060,,car
,,37,East,,2025-05-17T09:35:54.422000000Z,,1061,car,
,,38,South,,2025-05-17T04:41:40.787000000Z,,1063,car,
,,39,East,South,2025-05-17T09:35:45.465000000Z,2025-05-17T09:35:47.607000000Z,1066,car,car
,,40,South,North,2025-05-17T07:19:18.633000000Z,2025-05-17T07:19:21.977000000Z,1068,car,car
,,41,East,,2025-05-17T07:19:26.466000000Z,,1069,car,
,,41,South,South,2025-05-17T09:36:02.607000000Z,2025-05-17T09:36:05.374000000Z,1069,motorcycle,truck
,,42,,East,,2025-05-17T02:16:43.764000000Z,107,,car
,,42,,East,,2025-05-17T03:14:50.597000000Z,107,,car
,,42,,South,,2025-05-17T02:32:05.609000000Z,107,,car
,,42,South,East,2025-05-17T02:48:50.879000000Z,2025-05-17T02:48:55.087000000Z,107,car,car
,,43,East,South,2025-05-17T07:19:29.157000000Z,2025-05-17T07:19:31.618000000Z,1072,car,car
,,44,East,,2025-05-17T07:19:37.075000000Z,,1073,car,
,,45,South,,2025-05-17T04:42:18.590000000Z,,1075,car,
,,46,,North,,2025-05-17T09:35:55.048000000Z,1076,,car
,,47,,South,,2025-05-17T04:42:17.054000000Z,1079,,car
,,48,,South,,2025-05-17T03:14:27.974000000Z,108,,car
,,48,,East,,2025-05-17T03:44:24.237000000Z,108,,car
,,48,North,South,2025-05-17T04:05:40.482000000Z,2025-05-17T04:05:43.932000000Z,108,car,car
,,49,East,,2025-05-17T04:42:25.447000000Z,,1081,car,
,,49,North,East,2025-05-17T09:36:08.474000000Z,2025-05-17T09:36:12.519000000Z,1081,car,car
,,50,East,,2025-05-17T07:20:16.314000000Z,,1082,car,
,,50,South,,2025-05-17T09:36:17.986000000Z,,1082,car,
,,51,North,,2025-05-17T09:36:14.657000000Z,,1084,car,
,,52,East,South,2025-05-17T07:20:40.469000000Z,2025-05-17T07:20:43.247000000Z,1086,car,car
,,52,South,,2025-05-17T09:36:22.649000000Z,,1086,car,
,,53,East,North,2025-05-17T07:20:46.558000000Z,2025-05-17T07:20:49.397000000Z,1088,car,car
,,54,,North,,2025-05-17T09:36:21.538000000Z,1089,,car
,,55,East,,2025-05-17T04:42:38.480000000Z,,1098,car,
,,56,East,,2025-05-17T04:42:34.407000000Z,,1099,car,
,,57,South,,2025-05-17T03:08:47.163000000Z,,11,car,
,,58,,East,,2025-05-17T02:16:50.730000000Z,110,,car
,,58,South,,2025-05-17T03:07:07.956000000Z,,110,car,
,,59,South,East,2025-05-17T04:42:28.250000000Z,2025-05-17T04:42:32.404000000Z,1101,car,car
,,60,,East,,2025-05-17T04:42:58.693000000Z,1107,,car
,,60,East,North,2025-05-17T07:21:21.730000000Z,2025-05-17T07:21:24.707000000Z,1107,car,car
